iter	Logloss
0	0.6443757481
1	0.611951934
2	0.5885747804
3	0.5693407059
4	0.5576197836
5	0.5420664681
6	0.5299926864
7	0.5217857361
8	0.5195331044
9	0.5080658065
10	0.5042012533
11	0.5031543308
12	0.5010152393
13	0.4950494766
14	0.4926978747
15	0.4876338641
16	0.4856990178
17	0.483303282
18	0.4805298911
19	0.4781133864
20	0.4778973262
21	0.4761611091
22	0.4748855697
23	0.4729366302
24	0.472348796
25	0.4705021646
26	0.4691114955
27	0.4649933709
28	0.4622833994
29	0.4618664847
30	0.4600497882
31	0.4571655591
32	0.4557320277
33	0.4546744029
34	0.4538668527
35	0.4523482853
36	0.4521299998
37	0.4514391157
38	0.4506480959
39	0.4500066969
40	0.4492109087
41	0.4475489722
42	0.445684327
43	0.4450067944
44	0.444280386
45	0.4441508187
46	0.443623013
47	0.4431085322
48	0.442476564
49	0.4420375824
50	0.4416670269
51	0.4411247306
52	0.4406153361
53	0.4400422308
54	0.4395370218
55	0.437034448
56	0.4363111125
57	0.4357566304
58	0.4354392158
59	0.4349226952
60	0.4345103105
61	0.4342522091
62	0.433816221
63	0.4337172243
64	0.4334648185
65	0.4327365557
66	0.432498455
67	0.4316607581
68	0.4314124319
69	0.4310465919
70	0.430957026
71	0.4306954808
72	0.4303885301
73	0.4301606284
74	0.4296945731
75	0.4296916061
76	0.4294499556
77	0.4284331534
78	0.4281394217
79	0.4276782672
