iter	Passed	Remaining
0	133	10543
1	134	5233
2	134	3462
3	135	2577
4	136	2046
5	137	1691
6	137	1438
7	138	1249
8	139	1103
9	140	985
10	141	887
11	142	806
12	142	736
13	143	677
14	144	625
15	145	580
16	145	540
17	146	505
18	147	473
19	148	444
20	148	418
21	149	394
22	150	372
23	151	352
24	151	334
25	152	317
26	153	301
27	154	286
28	155	272
29	155	259
30	156	247
31	157	235
32	158	225
33	158	214
34	159	205
35	160	195
36	161	187
37	161	179
38	162	171
39	163	163
40	164	156
41	165	149
42	165	142
43	166	136
44	167	130
45	167	124
46	168	118
47	169	112
48	170	107
49	170	102
50	171	97
51	172	92
52	173	88
53	173	83
54	174	79
55	175	75
56	176	71
57	177	67
58	177	63
59	178	59
60	179	55
61	179	52
62	180	48
63	181	45
64	182	42
65	182	38
66	183	35
67	184	32
68	185	29
69	185	26
70	186	23
71	187	20
72	188	18
73	188	15
74	189	12
75	190	10
76	191	7
77	192	4
78	193	2
79	193	0
